42;93;4.92
10;42;3.67
10;105;2.9
105;93;2.54
93;42;2.52
42;56;2.52
10;84;1.96
93;105;1.94
10;56;1.59
42;10;1.38
10;60;1.35
63;93;1.15
105;10;1.05
6;93;0.97
139;42;0.92
56;42;0.88
42;84;0.83
59;93;0.81
10;89;0.74
89;10;0.67
10;59;0.66
139;105;0.62
84;42;0.62
84;10;0.6
93;59;0.56
6;56;0.56
99;42;0.5
1;56;0.5
10;93;0.49
42;60;0.47
60;10;0.47
10;6;0.45
10;91;0.44
63;10;0.39
93;84;0.39
60;42;0.36
91;10;0.36
56;10;0.35
93;56;0.35
105;56;0.35
10;52;0.33
42;99;0.33
99;105;0.31
17;93;0.3
108;56;0.3
10;63;0.29
93;10;0.28
93;66;0.28
58;10;0.27
52;93;0.27
93;60;0.26
36;42;0.26
42;139;0.26
105;99;0.25
59;10;0.25
36;105;0.25
51;93;0.24
93;91;0.24
10;185;0.24
59;60;0.24
84;93;0.23
63;99;0.23
117;56;0.23
63;56;0.22
42;40;0.22
185;42;0.21
93;63;0.21
63;84;0.21
10;58;0.2
93;52;0.2
93;89;0.2
108;60;0.2
108;84;0.2
42;185;0.2
56;93;0.2
105;84;0.19
40;42;0.19
10;40;0.18
1;84;0.18
10;66;0.17
42;149;0.17
149;105;0.17
105;139;0.17
208;42;0.17
42;208;0.17
149;42;0.16
115;42;0.16
42;117;0.16
117;42;0.16
10;17;0.15
60;59;0.15
118;42;0.15
36;89;0.15
105;185;0.15
63;60;0.1
63;40;0.08
63;117;0.06
63;185;0.05
63;149;0.05
99;63;0.04
